Year,Month,Day,Hours (UTC),Water Level (m)
2015,4,30,11,0.123443996
2015,4,30,12,0.123443996
2015,4,30,13,0.124967996
2015,4,30,14,0.126491996
2015,4,30,15,0.132283196
2015,4,30,16,0.132283196
2015,4,30,17,0.139293596
2015,4,30,18,0.136245596
2015,4,30,19,0.139293596
2015,4,30,20,0.136245596
2015,4,30,21,0.136245596
2015,4,30,22,0.136245596
2015,4,30,23,0.136245596
2015,5,1,0,0.136245596
2015,5,1,1,0.139293596
2015,5,1,2,0.142341595
2015,5,1,3,0.145389595
2015,5,1,4,0.148437595
2015,5,1,5,0.151485595
2015,5,1,6,0.148437595
2015,5,1,7,0.151485595
2015,5,1,8,0.154533595
2015,5,1,9,0.151485595
2015,5,1,10,0.151485595
2015,5,1,11,0.154533595
2015,5,1,12,0.151485595
2015,5,1,13,0.154533595
2015,5,1,14,0.154533595
2015,5,1,15,0.154533595
2015,5,1,16,0.151485595
2015,5,1,17,0.151485595
2015,5,1,18,0.151485595
2015,5,1,19,0.157581595
2015,5,1,20,0.157581595
2015,5,1,21,0.157581595
2015,5,1,22,0.157581595
2015,5,1,23,0.151485595
2015,5,2,0,0.154533595
2015,5,2,1,0.157581595
2015,5,2,2,0.157581595
2015,5,2,3,0.160629595
2015,5,2,4,0.160629595
2015,5,2,5,0.160629595
2015,5,2,6,0.157581595
2015,5,2,7,0.157581595
2015,5,2,8,0.157581595
2015,5,2,9,0.157581595
2015,5,2,10,0.157581595
2015,5,2,11,0.157581595
2015,5,2,12,0.157581595
2015,5,2,13,0.154533595
2015,5,2,14,0.151485595
2015,5,2,15,0.148437595
2015,5,2,16,0.145389595
2015,5,2,17,0.142341595
2015,5,2,18,0.132283196
2015,5,2,19,0.128625596
2015,5,2,20,0.123443996
2015,5,2,21,0.120395996
2015,5,2,22,0.115214396
2015,5,2,23,0.111556796
2015,5,3,0,0.108508797
2015,5,3,1,0.108508797
2015,5,3,2,0.101193597
2015,5,3,3,0.101193597
2015,5,3,4,0.102717597
2015,5,3,5,0.102717597
2015,5,3,6,0.101193597
2015,5,3,7,0.099669597
2015,5,3,8,0.098145597
2015,5,3,9,0.096621597
2015,5,3,10,0.090830397
2015,5,3,11,0.090830397
2015,5,3,12,0.089915997
2015,5,3,13,0.090830397
2015,5,3,14,0.092049597
2015,5,3,15,0.093573597
2015,5,3,16,0.096621597
2015,5,3,17,0.096621597
2015,5,3,18,0.093573597
2015,5,3,19,0.096011997
2015,5,3,20,0.099669597
2015,5,3,21,0.102717597
2015,5,3,22,0.105460797
2015,5,3,23,0.106984797
2015,5,4,0,0.111556796
2015,5,4,1,0.111556796
2015,5,4,2,0.114604796
2015,5,4,3,0.117347996
2015,5,4,4,0.124967996
2015,5,4,5,0.129235196
2015,5,4,6,0.132283196
2015,5,4,7,0.129235196
2015,5,4,8,0.128015996
2015,5,4,9,0.131673596
2015,5,4,10,0.132283196
2015,5,4,11,0.139293596
2015,5,4,12,0.142341595
2015,5,4,13,0.148437595
2015,5,4,14,0.148437595
2015,5,4,15,0.142341595
2015,5,4,16,0.148437595
2015,5,4,17,0.148437595
2015,5,4,18,0.151485595
2015,5,4,19,0.151485595
2015,5,4,20,0.151485595
2015,5,4,21,0.148437595
2015,5,4,22,0.148437595
2015,5,4,23,0.142341595
2015,5,5,0,0.139293596
2015,5,5,1,0.139293596
2015,5,5,2,0.142341595
2015,5,5,3,0.142341595
2015,5,5,4,0.145389595
2015,5,5,5,0.145389595
2015,5,5,6,0.145389595
2015,5,5,7,0.136245596
2015,5,5,8,0.133197596
2015,5,5,9,0.136245596
2015,5,5,10,0.136245596
2015,5,5,11,0.136245596
2015,5,5,12,0.136245596
2015,5,5,13,0.136245596
2015,5,5,14,0.136245596
2015,5,5,15,0.139293596
2015,5,5,16,0.132283196
2015,5,5,17,0.136245596
2015,5,5,18,0.136245596
2015,5,5,19,0.136245596
2015,5,5,20,0.136245596
2015,5,5,21,0.136245596
2015,5,5,22,0.136245596
2015,5,5,23,0.136245596
2015,5,6,0,0.129235196
2015,5,6,1,0.129235196
2015,5,6,2,0.129235196
2015,5,6,3,0.132283196
2015,5,6,4,0.133197596
2015,5,6,5,0.136245596
2015,5,6,6,0.136245596
2015,5,6,7,0.136245596
2015,5,6,8,0.136245596
2015,5,6,9,0.136245596
2015,5,6,10,0.130759196
2015,5,6,11,0.132283196
2015,5,6,12,0.133197596
2015,5,6,13,0.132283196
2015,5,6,14,0.132283196
2015,5,6,15,0.133197596
2015,5,6,16,0.133197596
2015,5,6,17,0.133197596
2015,5,6,18,0.127101596
2015,5,6,19,0.128625596
2015,5,6,20,0.126491996
2015,5,6,21,0.126491996
2015,5,6,22,0.128625596
2015,5,6,23,0.129235196
2015,5,7,0,0.129235196
2015,5,7,1,0.129235196
2015,5,7,2,0.132283196
2015,5,7,3,0.132283196
2015,5,7,4,0.126491996
2015,5,7,5,0.128625596
2015,5,7,6,0.130759196
2015,5,7,7,0.130149596
2015,5,7,8,0.130759196
2015,5,7,9,0.130759196
2015,5,7,10,0.129235196
2015,5,7,11,0.131673596
2015,5,7,12,0.130759196
2015,5,7,13,0.129235196
2015,5,7,14,0.130759196
2015,5,7,15,0.124967996
2015,5,7,16,0.128625596
2015,5,7,17,0.126491996
2015,5,7,18,0.123443996
2015,5,7,19,0.123443996
2015,5,7,20,0.120395996
2015,5,7,21,0.119786396
2015,5,7,22,0.119786396
2015,5,7,23,0.111556796
2015,5,8,0,0.113080796
2015,5,8,1,0.110032796
2015,5,8,2,0.113080796
2015,5,8,3,0.113080796
2015,5,8,4,0.115823996
2015,5,8,5,0.117347996
2015,5,8,6,0.116738396
2015,5,8,7,0.106984797
2015,5,8,8,0.104851197
2015,5,8,9,0.105460797
2015,5,8,10,0.108508797
2015,5,8,11,0.106984797
2015,5,8,12,0.105460797
2015,5,8,13,0.103936797
2015,5,8,14,0.102412797
2015,5,8,15,0.106375197
2015,5,8,16,0.108508797
2015,5,8,17,0.108508797
2015,5,8,18,0.110032796
2015,5,8,19,0.110642396
2015,5,8,20,0.105460797
2015,5,8,21,0.106984797
2015,5,8,22,0.108508797
2015,5,8,23,0.108508797
2015,5,9,0,0.108508797
2015,5,9,1,0.111556796
2015,5,9,2,0.114299996
2015,5,9,3,0.118871996
2015,5,9,4,0.117347996
2015,5,9,5,0.123443996
2015,5,9,6,0.126187196
2015,5,9,7,0.129235196
2015,5,9,8,0.132283196
2015,5,9,9,0.136245596
2015,5,9,10,0.142341595
2015,5,9,11,0.142341595
2015,5,9,12,0.145389595
2015,5,9,13,0.145389595
2015,5,9,14,0.148437595
2015,5,9,15,0.151485595
2015,5,9,16,0.151485595
2015,5,9,17,0.154533595
2015,5,9,18,0.154533595
2015,5,9,19,0.157581595
2015,5,9,20,0.157581595
2015,5,9,21,0.157581595
2015,5,9,22,0.157581595
2015,5,9,23,0.154533595
2015,5,10,0,0.154533595
2015,5,10,1,0.154533595
2015,5,10,2,0.157581595
2015,5,10,3,0.163677595
2015,5,10,4,0.166725595
2015,5,10,5,0.169773595
2015,5,10,6,0.172821594
2015,5,10,7,0.172821594
2015,5,10,8,0.175869594
2015,5,10,9,0.175869594
2015,5,10,10,0.178917594
2015,5,10,11,0.178917594
2015,5,10,12,0.178917594
2015,5,10,13,0.178917594
2015,5,10,14,0.178917594
2015,5,10,15,0.181965594
2015,5,10,16,0.181965594
2015,5,10,17,0.181965594
2015,5,10,18,0.185013594
2015,5,10,19,0.181965594
2015,5,10,20,0.185013594
2015,5,10,21,0.178917594
2015,5,10,22,0.178917594
2015,5,10,23,0.178917594
2015,5,11,0,0.178917594
2015,5,11,1,0.181965594
2015,5,11,2,0.185013594
2015,5,11,3,0.185013594
2015,5,11,4,0.188061594
2015,5,11,5,0.191109594
2015,5,11,6,0.188061594
2015,5,11,7,0.181965594
2015,5,11,8,0.181965594
2015,5,11,9,0.181965594
2015,5,11,10,0.181965594
2015,5,11,11,0.185013594
2015,5,11,12,0.181965594
2015,5,11,13,0.181965594
2015,5,11,14,0.181965594
2015,5,11,15,0.185013594
2015,5,11,16,0.188061594
2015,5,11,17,0.191109594
2015,5,11,18,0.188061594
2015,5,11,19,0.188061594
2015,5,11,20,0.188061594
2015,5,11,21,0.191109594
2015,5,11,22,0.194157594
2015,5,11,23,0.194157594
2015,5,12,0,0.194157594
2015,5,12,1,0.197205594
2015,5,12,2,0.200253594
2015,5,12,3,0.200253594
2015,5,12,4,0.200253594
2015,5,12,5,0.200253594
2015,5,12,6,0.200253594
2015,5,12,7,0.200253594
2015,5,12,8,0.197205594
2015,5,12,9,0.197205594
2015,5,12,10,0.194157594
2015,5,12,11,0.194157594
2015,5,12,12,0.191109594
2015,5,12,13,0.188061594
2015,5,12,14,0.188061594
2015,5,12,15,0.188061594
2015,5,12,16,0.185013594
2015,5,12,17,0.178917594
2015,5,12,18,0.178917594
2015,5,12,19,0.181965594
2015,5,12,20,0.178917594
2015,5,12,21,0.178917594
2015,5,12,22,0.178917594
2015,5,12,23,0.172821594
2015,5,13,0,0.172821594
2015,5,13,1,0.172821594
2015,5,13,2,0.175869594
2015,5,13,3,0.175869594
2015,5,13,4,0.172821594
2015,5,13,5,0.172821594
2015,5,13,6,0.175869594
2015,5,13,7,0.175869594
2015,5,13,8,0.172821594
2015,5,13,9,0.172821594
2015,5,13,10,0.172821594
2015,5,13,11,0.175869594
2015,5,13,12,0.178917594
2015,5,13,13,0.178917594
2015,5,13,14,0.185013594
2015,5,13,15,0.191109594
2015,5,13,16,0.194157594
2015,5,13,17,0.200253594
2015,5,13,18,0.206349593
2015,5,13,19,0.206349593
2015,5,13,20,0.209397593
2015,5,13,21,0.212445593
2015,5,13,22,0.218541593
2015,5,13,23,0.221589593
2015,5,14,0,0.224637593
2015,5,14,1,0.227685593
2015,5,14,2,0.224637593
2015,5,14,3,0.230733593
2015,5,14,4,0.236829592
2015,5,14,5,0.242925592
2015,5,14,6,0.245973592
2015,5,14,7,0.245973592
2015,5,14,8,0.245973592
2015,5,14,9,0.242925592
2015,5,14,10,0.236829592
2015,5,14,11,0.233781593
2015,5,14,12,0.227685593
2015,5,14,13,0.224637593
2015,5,14,14,0.218541593
2015,5,14,15,0.218541593
2015,5,14,16,0.221589593
2015,5,14,17,0.218541593
2015,5,14,18,0.215493593
2015,5,14,19,0.212445593
2015,5,14,20,0.206349593
2015,5,14,21,0.206349593
2015,5,14,22,0.203301593
2015,5,14,23,0.200253594
2015,5,15,0,0.197205594
2015,5,15,1,0.197205594
2015,5,15,2,0.200253594
2015,5,15,3,0.200253594
2015,5,15,4,0.203301593
2015,5,15,5,0.206349593
2015,5,15,6,0.206349593
2015,5,15,7,0.206349593
2015,5,15,8,0.203301593
2015,5,15,9,0.203301593
2015,5,15,10,0.206349593
2015,5,15,11,0.206349593
2015,5,15,12,0.206349593
2015,5,15,13,0.209397593
2015,5,15,14,0.212445593
2015,5,15,15,0.218541593
2015,5,15,16,0.221589593
2015,5,15,17,0.218541593
2015,5,15,18,0.221589593
2015,5,15,19,0.221589593
2015,5,15,20,0.221589593
2015,5,15,21,0.218541593
2015,5,15,22,0.218541593
2015,5,15,23,0.215493593
2015,5,16,0,0.212445593
2015,5,16,1,0.212445593
2015,5,16,2,0.212445593
2015,5,16,3,0.215493593
2015,5,16,4,0.218541593
2015,5,16,5,0.215493593
2015,5,16,6,0.215493593
2015,5,16,7,0.203301593
2015,5,16,8,0.200253594
2015,5,16,9,0.194157594
2015,5,16,10,0.191109594
2015,5,16,11,0.188061594
2015,5,16,12,0.178917594
2015,5,16,13,0.175869594
2015,5,16,14,0.172821594
2015,5,16,15,0.169773595
2015,5,16,16,0.160629595
2015,5,16,17,0.160629595
2015,5,16,18,0.160629595
2015,5,16,19,0.157581595
2015,5,16,20,0.157581595
2015,5,16,21,0.154533595
2015,5,16,22,0.154533595
2015,5,16,23,0.151485595
2015,5,17,0,0.148437595
2015,5,17,1,0.145389595
2015,5,17,2,0.145389595
2015,5,17,3,0.145389595
2015,5,17,4,0.145389595
2015,5,17,5,0.136245596
2015,5,17,6,0.136245596
2015,5,17,7,0.133197596
2015,5,17,8,0.131368796
2015,5,17,9,0.127711196
2015,5,17,10,0.128320796
2015,5,17,11,0.130759196
2015,5,17,12,0.131368796
2015,5,17,13,0.133197596
2015,5,17,14,0.139293596
2015,5,17,15,0.142341595
2015,5,17,16,0.142341595
2015,5,17,17,0.139293596
2015,5,17,18,0.139293596
2015,5,17,19,0.142341595
2015,5,17,20,0.145389595
2015,5,17,21,0.142341595
2015,5,17,22,0.142341595
2015,5,17,23,0.142341595
2015,5,18,0,0.139293596
2015,5,18,1,0.145389595
2015,5,18,2,0.151485595
2015,5,18,3,0.148437595
2015,5,18,4,0.151485595
2015,5,18,5,0.154533595
2015,5,18,6,0.151485595
2015,5,18,7,0.151485595
2015,5,18,8,0.139293596
2015,5,18,9,0.148437595
2015,5,18,10,0.163677595
2015,5,18,11,0.166725595
2015,5,18,12,0.166725595
2015,5,18,13,0.169773595
2015,5,18,14,0.175869594
2015,5,18,15,0.175869594
2015,5,18,16,0.181965594
2015,5,18,17,0.181965594
2015,5,18,18,0.188061594
2015,5,18,19,0.194157594
2015,5,18,20,0.203301593
2015,5,18,21,0.212445593
2015,5,18,22,0.218541593
2015,5,18,23,0.224637593
2015,5,19,0,0.230733593
2015,5,19,1,0.233781593
2015,5,19,2,0.239877592
2015,5,19,3,0.249021592
2015,5,19,4,0.258165592
2015,5,19,5,0.264261592
2015,5,19,6,0.264261592
2015,5,19,7,0.264261592
2015,5,19,8,0.267309591
2015,5,19,9,0.267309591
2015,5,19,10,0.270357591
2015,5,19,11,0.261213592
2015,5,19,12,0.261213592
2015,5,19,13,0.267309591
2015,5,19,14,0.267309591
2015,5,19,15,0.267309591
2015,5,19,16,0.267309591
2015,5,19,17,0.270357591
2015,5,19,18,0.273405591
2015,5,19,19,0.270357591
2015,5,19,20,0.270357591
2015,5,19,21,0.270357591
2015,5,19,22,0.267309591
2015,5,19,23,0.267309591
2015,5,20,0,0.267309591
2015,5,20,1,0.255117592
2015,5,20,2,0.258165592
2015,5,20,3,0.258165592
2015,5,20,4,0.261213592
2015,5,20,5,0.261213592
2015,5,20,6,0.267309591
2015,5,20,7,0.270357591
2015,5,20,8,0.270357591
2015,5,20,9,0.270357591
2015,5,20,10,0.270357591
2015,5,20,11,0.255117592
2015,5,20,12,0.245973592
2015,5,20,13,0.242925592
2015,5,20,14,0.236829592
2015,5,20,15,0.230733593
2015,5,20,16,0.224637593
2015,5,20,17,0.221589593
2015,5,20,18,0.212445593
2015,5,20,19,0.212445593
2015,5,20,20,0.215493593
2015,5,20,21,0.215493593
2015,5,20,22,0.209397593
2015,5,20,23,0.206349593
2015,5,21,0,0.194157594
2015,5,21,1,0.188061594
2015,5,21,2,0.185013594
2015,5,21,3,0.181965594
2015,5,21,4,0.178917594
2015,5,21,5,0.175869594
2015,5,21,6,0.169773595
2015,5,21,7,0.160629595
2015,5,21,8,0.160629595
2015,5,21,9,0.160629595
2015,5,21,10,0.157581595
2015,5,21,11,0.154533595
2015,5,21,12,0.148437595
2015,5,21,13,0.145389595
2015,5,21,14,0.145389595
2015,5,21,15,0.142341595
2015,5,21,16,0.139293596
2015,5,21,17,0.136245596
2015,5,21,18,0.133197596
2015,5,21,19,0.131063996
2015,5,21,20,0.121919996
2015,5,21,21,0.121919996
2015,5,21,22,0.121919996
2015,5,21,23,0.120395996
2015,5,22,0,0.121919996
2015,5,22,1,0.121919996
2015,5,22,2,0.126491996
2015,5,22,3,0.131063996
2015,5,22,4,0.133197596
2015,5,22,5,0.136245596
2015,5,22,6,0.142341595
2015,5,22,7,0.145389595
2015,5,22,8,0.151485595
2015,5,22,9,0.157581595
2015,5,22,10,0.157581595
2015,5,22,11,0.163677595
2015,5,22,12,0.169773595
2015,5,22,13,0.175869594
2015,5,22,14,0.181965594
2015,5,22,15,0.185013594
2015,5,22,16,0.191109594
2015,5,22,17,0.197205594
2015,5,22,18,0.206349593
2015,5,22,19,0.206349593
2015,5,22,20,0.212445593
2015,5,22,21,0.218541593
2015,5,22,22,0.221589593
2015,5,22,23,0.227685593
2015,5,23,0,0.233781593
2015,5,23,1,0.236829592
2015,5,23,2,0.233781593
2015,5,23,3,0.236829592
2015,5,23,4,0.239877592
2015,5,23,5,0.242925592
2015,5,23,6,0.242925592
2015,5,23,7,0.239877592
2015,5,23,8,0.236829592
2015,5,23,9,0.236829592
2015,5,23,10,0.233781593
2015,5,23,11,0.230733593
2015,5,23,12,0.221589593
2015,5,23,13,0.221589593
2015,5,23,14,0.221589593
2015,5,23,15,0.221589593
2015,5,23,16,0.221589593
2015,5,23,17,0.221589593
2015,5,23,18,0.218541593
2015,5,23,19,0.218541593
2015,5,23,20,0.212445593
2015,5,23,21,0.212445593
2015,5,23,22,0.215493593
2015,5,23,23,0.215493593
2015,5,24,0,0.218541593
2015,5,24,1,0.218541593
2015,5,24,2,0.218541593
2015,5,24,3,0.218541593
2015,5,24,4,0.218541593
2015,5,24,5,0.215493593
2015,5,24,6,0.212445593
2015,5,24,7,0.212445593
2015,5,24,8,0.209397593
2015,5,24,9,0.206349593
2015,5,24,10,0.203301593
2015,5,24,11,0.200253594
2015,5,24,12,0.194157594
2015,5,24,13,0.194157594
2015,5,24,14,0.188061594
2015,5,24,15,0.188061594
2015,5,24,16,0.185013594
2015,5,24,17,0.181965594
2015,5,24,18,0.178917594
2015,5,24,19,0.175869594
2015,5,24,20,0.178917594
2015,5,24,21,0.178917594
2015,5,24,22,0.175869594
2015,5,24,23,0.175869594
2015,5,25,0,0.175869594
2015,5,25,1,0.175869594
2015,5,25,2,0.181965594
2015,5,25,3,0.188061594
2015,5,25,4,0.194157594
2015,5,25,5,0.197205594
2015,5,25,6,0.188061594
2015,5,25,7,0.191109594
2015,5,25,8,0.191109594
2015,5,25,9,0.188061594
2015,5,25,10,0.188061594
2015,5,25,11,0.185013594
2015,5,25,12,0.185013594
2015,5,25,13,0.181965594
2015,5,25,14,0.185013594
2015,5,25,15,0.185013594
2015,5,25,16,0.178917594
2015,5,25,17,0.175869594
2015,5,25,18,0.181965594
2015,5,25,19,0.181965594
2015,5,25,20,0.181965594
2015,5,25,21,0.185013594
2015,5,25,22,0.181965594
2015,5,25,23,0.188061594
2015,5,26,0,0.188061594
2015,5,26,1,0.194157594
2015,5,26,2,0.191109594
2015,5,26,3,0.191109594
2015,5,26,4,0.194157594
2015,5,26,5,0.194157594
2015,5,26,6,0.194157594
2015,5,26,7,0.197205594
2015,5,26,8,0.197205594
2015,5,26,9,0.200253594
2015,5,26,10,0.194157594
